Date,Name,Year,Letterboxd URI,Rating,Average Rating,Length (mins)
2020-08-07,X-Men,2000,https://boxd.it/1a7s,3.0,3.32,104.0
2020-08-07,Back to the Future Part III,1990,https://boxd.it/2aTS,3.0,3.52,119.0
2020-08-07,Pirates of the Caribbean: At World's End,2007,https://boxd.it/2aGu,3.0,3.41,169.0
2020-08-07,Moulin Rouge!,2001,https://boxd.it/29wI,2.0,3.74,128.0
2020-08-07,The Room,2003,https://boxd.it/1ICY,2.0,2.6,99.0
2020-08-07,Life of Brian,1979,https://boxd.it/2a4q,3.5,3.97,94.0
2020-08-07,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,https://boxd.it/2ark,3.0,3.5,143.0
2020-08-07,The Bourne Identity,2002,https://boxd.it/26EO,2.5,3.72,119.0
2020-08-07,Top Gun,1986,https://boxd.it/29JC,2.5,3.36,110.0
2020-08-07,X-Men Origins: Wolverine,2009,https://boxd.it/27ug,2.5,2.34,107.0
2020-08-07,Pirates of the Caribbean: On Stranger Tides,2011,https://boxd.it/27Z4,2.0,2.78,137.0
2020-08-07,To Kill a Mockingbird,1962,https://boxd.it/2a2E,2.5,4.08,129.0
2020-08-07,The Adventures of Tintin,2011,https://boxd.it/1Irc,2.5,3.58,107.0
2020-08-07,Notting Hill,1999,https://boxd.it/2aeK,3.0,3.62,124.0
2020-08-07,The Blues Brothers,1980,https://boxd.it/2adi,3.5,3.97,133.0
2020-08-07,Black Mirror: San Junipero,2016,https://boxd.it/k4aS,3.5,4.14,61.0
2020-08-07,Hannibal,2001,https://boxd.it/1XVc,3.0,3.21,131.0
2020-08-07,The Last Samurai,2003,https://boxd.it/29ZA,2.5,3.67,154.0
2020-08-07,Spy Kids,2001,https://boxd.it/1Xcw,3.5,2.92,88.0
2020-08-07,A Few Good Men,1992,https://boxd.it/29nw,2.5,3.97,138.0
2020-08-07,The Last Airbender,2010,https://boxd.it/1WQK,0.5,1.07,103.0
2020-08-07,The Great Escape,1963,https://boxd.it/22kA,2.5,4.13,173.0
2020-08-07,Das Boot,1981,https://boxd.it/2av2,1.0,4.28,150.0
2020-08-07,Red Dragon,2002,https://boxd.it/1Yrs,2.0,3.38,124.0
2020-08-07,The Chronicles of Narnia: Prince Caspian,2008,https://boxd.it/26Hy,2.5,3.04,150.0
2020-08-07,Mortal Engines,2018,https://boxd.it/fahg,1.0,2.45,129.0
2020-08-07,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3.5,3.31,136.0
2020-08-07,Léon: The Professional,1994,https://boxd.it/2b8S,1.5,4.03,111.0
2020-08-07,The Great Gatsby,2013,https://boxd.it/JY,3.0,3.38,143.0
2020-08-07,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk,2.0,3.46,169.0
